relative_path,absolute_path,referenced_by_fusion_script,raw_source_role,raw_source_id,readable_by_gdal,driver,crs,epsg,width,height,band_count,dtype,nodata,pixel_width,pixel_height,native_resolution_m,xmin,ymin,xmax,ymax,multibeam_coverage,source_confidence,sha256,evidence
copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_BqqY_941fe7da/Copernicus_DSM_10_N28_00_E034_00/AUXFILES/Copernicus_DSM_10_N28_00_E034_00_FLM.tif,/home/daij/Desktop/general/DEM/copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_BqqY_941fe7da/Copernicus_DSM_10_N28_00_E034_00/AUXFILES/Copernicus_DSM_10_N28_00_E034_00_FLM.tif,false,A2/Copernicus land/background DEM input,copernicus_glo30,true,GTiff,"GEOGCRS[""WGS 84"",",4326,3601,3601,1,Byte,unknown,0.000277777777778,0.000277777777778,30.9222222222,33.9998611,27.9998611,35.0001389,29.0001389,false,medium,f8d821461bb60d84c47db1b80c0a842f46eef1eea13805bfeb1cfde45bdf9c48,GDAL metadata only
copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_BqqY_941fe7da/Copernicus_DSM_10_N28_00_E034_00/AUXFILES/Copernicus_DSM_10_N28_00_E034_00_HEM.tif,/home/daij/Desktop/general/DEM/copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_BqqY_941fe7da/Copernicus_DSM_10_N28_00_E034_00/AUXFILES/Copernicus_DSM_10_N28_00_E034_00_HEM.tif,false,A2/Copernicus land/background DEM input,copernicus_glo30,true,GTiff,"GEOGCRS[""WGS 84"",",4326,3601,3601,1,Float32,unknown,0.000277777777778,0.000277777777778,30.9222222222,33.9998611,27.9998611,35.0001389,29.0001389,false,medium,aa8f7c43ad145c6ef973094536efac1a463af31882ed4b3824a7bf0920e8f8da,GDAL metadata only
copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_BqqY_941fe7da/Copernicus_DSM_10_N28_00_E034_00/AUXFILES/Copernicus_DSM_10_N28_00_E034_00_WBM.tif,/home/daij/Desktop/general/DEM/copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_BqqY_941fe7da/Copernicus_DSM_10_N28_00_E034_00/AUXFILES/Copernicus_DSM_10_N28_00_E034_00_WBM.tif,true,A2/Copernicus land/background DEM input,copernicus_glo30,true,GTiff,"GEOGCRS[""WGS 84"",",4326,3601,3601,1,Byte,unknown,0.000277777777778,0.000277777777778,30.9222222222,33.9998611,27.9998611,35.0001389,29.0001389,false,high,45125a078ae38316203e390a128a2d3d78fbb7df9f0ac3df3ccdbbc84edcd843,process/build_fused_C.py
copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_BqqY_941fe7da/Copernicus_DSM_10_N28_00_E034_00/DEM/Copernicus_DSM_10_N28_00_E034_00_DEM.tif,/home/daij/Desktop/general/DEM/copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_BqqY_941fe7da/Copernicus_DSM_10_N28_00_E034_00/DEM/Copernicus_DSM_10_N28_00_E034_00_DEM.tif,false,A2/Copernicus land/background DEM input,copernicus_glo30,true,GTiff,"GEOGCRS[""WGS 84"",",4326,3601,3601,1,Float32,unknown,0.000277777777778,0.000277777777778,30.9222222222,33.9998611,27.9998611,35.0001389,29.0001389,false,medium,08c033f48b44e8ebab215e61e6b465fd9d286eb754552e14b8480a6634efe71a,GDAL metadata only
copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_BqqY_941fe7da/Copernicus_DSM_10_N28_00_E034_00/DEM/gdalinfo_N28E034.txt,/home/daij/Desktop/general/DEM/copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_BqqY_941fe7da/Copernicus_DSM_10_N28_00_E034_00/DEM/gdalinfo_N28E034.txt,false,processing/provenance sidecar,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,3827d3e1d0433574a2b60e0e8deed51ac68c9df19c76e192c9db75cdb3cecf74,file inventory
copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_BqqY_941fe7da/Copernicus_DSM_10_N28_00_E034_00/PREVIEW/Copernicus_DSM_10_N28_00_E034_00_DEM_ABS_QL.tif,/home/daij/Desktop/general/DEM/copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_BqqY_941fe7da/Copernicus_DSM_10_N28_00_E034_00/PREVIEW/Copernicus_DSM_10_N28_00_E034_00_DEM_ABS_QL.tif,false,A2/Copernicus land/background DEM input,copernicus_glo30,true,GTiff,"GEOGCRS[""WGS 84"",",4326,720,720,3,Byte,unknown,0.00138888888889,0.00138888888889,154.611111111,34,28,35,29,false,medium,27b4e42ac330e955ddb8c31e64dd2f2dc7742cf70210d5548c447f5bc8b16f8d,GDAL metadata only
copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_BqqY_941fe7da/Copernicus_DSM_10_N28_00_E034_00/PREVIEW/Copernicus_DSM_10_N28_00_E034_00_DEM_QL.tif,/home/daij/Desktop/general/DEM/copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_BqqY_941fe7da/Copernicus_DSM_10_N28_00_E034_00/PREVIEW/Copernicus_DSM_10_N28_00_E034_00_DEM_QL.tif,false,A2/Copernicus land/background DEM input,copernicus_glo30,true,GTiff,"GEOGCRS[""WGS 84"",",4326,720,720,3,Byte,unknown,0.00138888888889,0.00138888888889,154.611111111,34,28,35,29,false,medium,acf5d5896e0fc7605a72d30980b1ae40ace56cb8b623e52bd6855c42e46905a3,GDAL metadata only
copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_BqqY_941fe7da/Copernicus_DSM_10_N28_00_E034_00/PREVIEW/Copernicus_DSM_10_N28_00_E034_00_EDM_QL.tif,/home/daij/Desktop/general/DEM/copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_BqqY_941fe7da/Copernicus_DSM_10_N28_00_E034_00/PREVIEW/Copernicus_DSM_10_N28_00_E034_00_EDM_QL.tif,false,A2/Copernicus land/background DEM input,copernicus_glo30,true,GTiff,"GEOGCRS[""WGS 84"",",4326,720,720,1,Byte,unknown,0.00138888888889,0.00138888888889,154.611111111,34,28,35,29,false,medium,e213da257e8e5dc8365c53ba035216254fdcf4bb395bde7cb4465d73bee1ef11,GDAL metadata only
copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_BqqY_941fe7da/Copernicus_DSM_10_N28_00_E034_00/PREVIEW/Copernicus_DSM_10_N28_00_E034_00_FLM_QL.tif,/home/daij/Desktop/general/DEM/copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_BqqY_941fe7da/Copernicus_DSM_10_N28_00_E034_00/PREVIEW/Copernicus_DSM_10_N28_00_E034_00_FLM_QL.tif,false,A2/Copernicus land/background DEM input,copernicus_glo30,true,GTiff,"GEOGCRS[""WGS 84"",",4326,720,720,1,Byte,unknown,0.00138888888889,0.00138888888889,154.611111111,34,28,35,29,false,medium,d67c898969d9466a23812519c090e8d8dc8f1339525de46a37380d5d8c28ea8c,GDAL metadata only
copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_BqqY_941fe7da/Copernicus_DSM_10_N28_00_E034_00/PREVIEW/Copernicus_DSM_10_N28_00_E034_00_HEM_QL.tif,/home/daij/Desktop/general/DEM/copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_BqqY_941fe7da/Copernicus_DSM_10_N28_00_E034_00/PREVIEW/Copernicus_DSM_10_N28_00_E034_00_HEM_QL.tif,false,A2/Copernicus land/background DEM input,copernicus_glo30,true,GTiff,"GEOGCRS[""WGS 84"",",4326,720,720,1,Byte,unknown,0.00138888888889,0.00138888888889,154.611111111,34,28,35,29,false,medium,8d4717e7531c1f7aeae119fb016efa4446f6b15ef51d763a593859e79aff98f6,GDAL metadata only
copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_BqqY_941fe7da/Copernicus_DSM_10_N28_00_E034_00/PREVIEW/Copernicus_DSM_10_N28_00_E034_00_WBM_QL.tif,/home/daij/Desktop/general/DEM/copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_BqqY_941fe7da/Copernicus_DSM_10_N28_00_E034_00/PREVIEW/Copernicus_DSM_10_N28_00_E034_00_WBM_QL.tif,false,A2/Copernicus land/background DEM input,copernicus_glo30,true,GTiff,"GEOGCRS[""WGS 84"",",4326,720,720,1,Byte,unknown,0.00138888888889,0.00138888888889,154.611111111,34,28,35,29,false,medium,666344d6410f1c102ffaac301ef83854ed5d543e6ce005842f4ffcd5cae62df8,GDAL metadata only
copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_opqM_b9b8619d/Copernicus_DSM_10_N27_00_E034_00/AUXFILES/Copernicus_DSM_10_N27_00_E034_00_EDM.tif,/home/daij/Desktop/general/DEM/copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_opqM_b9b8619d/Copernicus_DSM_10_N27_00_E034_00/AUXFILES/Copernicus_DSM_10_N27_00_E034_00_EDM.tif,false,A2/Copernicus land/background DEM input,copernicus_glo30,true,GTiff,"GEOGCRS[""WGS 84"",",4326,3601,3601,1,Byte,unknown,0.000277777777778,0.000277777777778,30.9222222222,33.9998611,26.9998611,35.0001389,28.0001389,false,medium,e209b0eefa5427537b1c15cd8df5aa45c92fad91f4510427c2db93fbc87b73cc,GDAL metadata only
copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_opqM_b9b8619d/Copernicus_DSM_10_N27_00_E034_00/AUXFILES/Copernicus_DSM_10_N27_00_E034_00_FLM.tif,/home/daij/Desktop/general/DEM/copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_opqM_b9b8619d/Copernicus_DSM_10_N27_00_E034_00/AUXFILES/Copernicus_DSM_10_N27_00_E034_00_FLM.tif,false,A2/Copernicus land/background DEM input,copernicus_glo30,true,GTiff,"GEOGCRS[""WGS 84"",",4326,3601,3601,1,Byte,unknown,0.000277777777778,0.000277777777778,30.9222222222,33.9998611,26.9998611,35.0001389,28.0001389,false,medium,0b6de168e31323db9a21adace1db2fa746c333ce6d8eb045bb371d2f35808ac8,GDAL metadata only
copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_opqM_b9b8619d/Copernicus_DSM_10_N27_00_E034_00/AUXFILES/Copernicus_DSM_10_N27_00_E034_00_HEM.tif,/home/daij/Desktop/general/DEM/copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_opqM_b9b8619d/Copernicus_DSM_10_N27_00_E034_00/AUXFILES/Copernicus_DSM_10_N27_00_E034_00_HEM.tif,false,A2/Copernicus land/background DEM input,copernicus_glo30,true,GTiff,"GEOGCRS[""WGS 84"",",4326,3601,3601,1,Float32,unknown,0.000277777777778,0.000277777777778,30.9222222222,33.9998611,26.9998611,35.0001389,28.0001389,false,medium,5e7cba9d858025a9ce2d79624e921807c7dbee653f0e830e15dba7716a776d92,GDAL metadata only
copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_opqM_b9b8619d/Copernicus_DSM_10_N27_00_E034_00/AUXFILES/Copernicus_DSM_10_N27_00_E034_00_WBM.tif,/home/daij/Desktop/general/DEM/copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_opqM_b9b8619d/Copernicus_DSM_10_N27_00_E034_00/AUXFILES/Copernicus_DSM_10_N27_00_E034_00_WBM.tif,true,A2/Copernicus land/background DEM input,copernicus_glo30,true,GTiff,"GEOGCRS[""WGS 84"",",4326,3601,3601,1,Byte,unknown,0.000277777777778,0.000277777777778,30.9222222222,33.9998611,26.9998611,35.0001389,28.0001389,false,high,7b5f6155fc03796b057367e55d6faf972fb374e6627872e8924d4ce48bf58955,process/build_fused_C.py
copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_opqM_b9b8619d/Copernicus_DSM_10_N27_00_E034_00/DEM/Copernicus_DSM_10_N27_00_E034_00_DEM.tif,/home/daij/Desktop/general/DEM/copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_opqM_b9b8619d/Copernicus_DSM_10_N27_00_E034_00/DEM/Copernicus_DSM_10_N27_00_E034_00_DEM.tif,false,A2/Copernicus land/background DEM input,copernicus_glo30,true,GTiff,"GEOGCRS[""WGS 84"",",4326,3601,3601,1,Float32,unknown,0.000277777777778,0.000277777777778,30.9222222222,33.9998611,26.9998611,35.0001389,28.0001389,false,medium,a41aa78280dcc2204084fa501962cac8e8ab3f99e7109b1b9c6c62181535d892,GDAL metadata only
copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_opqM_b9b8619d/Copernicus_DSM_10_N27_00_E034_00/DEM/gdalinfo_N27E034.txt,/home/daij/Desktop/general/DEM/copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_opqM_b9b8619d/Copernicus_DSM_10_N27_00_E034_00/DEM/gdalinfo_N27E034.txt,false,processing/provenance sidecar,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,bce00cef3ee23018519fdebec8e1495f65c7ed96163587bc4841e37715c36c6c,file inventory
copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_opqM_b9b8619d/Copernicus_DSM_10_N27_00_E034_00/PREVIEW/Copernicus_DSM_10_N27_00_E034_00_DEM_ABS_QL.tif,/home/daij/Desktop/general/DEM/copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_opqM_b9b8619d/Copernicus_DSM_10_N27_00_E034_00/PREVIEW/Copernicus_DSM_10_N27_00_E034_00_DEM_ABS_QL.tif,false,A2/Copernicus land/background DEM input,copernicus_glo30,true,GTiff,"GEOGCRS[""WGS 84"",",4326,720,720,3,Byte,unknown,0.00138888888889,0.00138888888889,154.611111111,34,27,35,28,false,medium,8acf8989f941d5b6b622075d1ba2eaf79ec44983c92b28a7e56c1f27f7e6b00b,GDAL metadata only
copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_opqM_b9b8619d/Copernicus_DSM_10_N27_00_E034_00/PREVIEW/Copernicus_DSM_10_N27_00_E034_00_DEM_QL.tif,/home/daij/Desktop/general/DEM/copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_opqM_b9b8619d/Copernicus_DSM_10_N27_00_E034_00/PREVIEW/Copernicus_DSM_10_N27_00_E034_00_DEM_QL.tif,false,A2/Copernicus land/background DEM input,copernicus_glo30,true,GTiff,"GEOGCRS[""WGS 84"",",4326,720,720,3,Byte,unknown,0.00138888888889,0.00138888888889,154.611111111,34,27,35,28,false,medium,e7a6d896e2fcbeeadc3d68af9f997efa5948301b72a0aa5fdc0acf26c82586d8,GDAL metadata only
copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_opqM_b9b8619d/Copernicus_DSM_10_N27_00_E034_00/PREVIEW/Copernicus_DSM_10_N27_00_E034_00_EDM_QL.tif,/home/daij/Desktop/general/DEM/copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_opqM_b9b8619d/Copernicus_DSM_10_N27_00_E034_00/PREVIEW/Copernicus_DSM_10_N27_00_E034_00_EDM_QL.tif,false,A2/Copernicus land/background DEM input,copernicus_glo30,true,GTiff,"GEOGCRS[""WGS 84"",",4326,720,720,1,Byte,unknown,0.00138888888889,0.00138888888889,154.611111111,34,27,35,28,false,medium,4794f818bb4025537ec16fbb93f0c21826fd6c6d1fe8760e2529f35566af96a3,GDAL metadata only
copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_opqM_b9b8619d/Copernicus_DSM_10_N27_00_E034_00/PREVIEW/Copernicus_DSM_10_N27_00_E034_00_FLM_QL.tif,/home/daij/Desktop/general/DEM/copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_opqM_b9b8619d/Copernicus_DSM_10_N27_00_E034_00/PREVIEW/Copernicus_DSM_10_N27_00_E034_00_FLM_QL.tif,false,A2/Copernicus land/background DEM input,copernicus_glo30,true,GTiff,"GEOGCRS[""WGS 84"",",4326,720,720,1,Byte,unknown,0.00138888888889,0.00138888888889,154.611111111,34,27,35,28,false,medium,b3fe15a627f8cb44de0df5518522dc766fa68de2dd6e8b56cdd55fdefa162c51,GDAL metadata only
copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_opqM_b9b8619d/Copernicus_DSM_10_N27_00_E034_00/PREVIEW/Copernicus_DSM_10_N27_00_E034_00_HEM_QL.tif,/home/daij/Desktop/general/DEM/copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_opqM_b9b8619d/Copernicus_DSM_10_N27_00_E034_00/PREVIEW/Copernicus_DSM_10_N27_00_E034_00_HEM_QL.tif,false,A2/Copernicus land/background DEM input,copernicus_glo30,true,GTiff,"GEOGCRS[""WGS 84"",",4326,720,720,1,Byte,unknown,0.00138888888889,0.00138888888889,154.611111111,34,27,35,28,false,medium,148ebcf40c128248ee8d7e36aa247b82eddf748bf68bf7959f922292921e884a,GDAL metadata only
copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_opqM_b9b8619d/Copernicus_DSM_10_N27_00_E034_00/PREVIEW/Copernicus_DSM_10_N27_00_E034_00_WBM_QL.tif,/home/daij/Desktop/general/DEM/copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_opqM_b9b8619d/Copernicus_DSM_10_N27_00_E034_00/PREVIEW/Copernicus_DSM_10_N27_00_E034_00_WBM_QL.tif,false,A2/Copernicus land/background DEM input,copernicus_glo30,true,GTiff,"GEOGCRS[""WGS 84"",",4326,720,720,1,Byte,unknown,0.00138888888889,0.00138888888889,154.611111111,34,27,35,28,false,medium,a19cba95d3972382437b338278595405153aac28c665370baf00843673f5bb6f,GDAL metadata only
copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140227T153819_ADS_000000_XFfg_230d2e11/Copernicus_DSM_10_N29_00_E034_00/AUXFILES/Copernicus_DSM_10_N29_00_E034_00_EDM.tif,/home/daij/Desktop/general/DEM/copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140227T153819_ADS_000000_XFfg_230d2e11/Copernicus_DSM_10_N29_00_E034_00/AUXFILES/Copernicus_DSM_10_N29_00_E034_00_EDM.tif,false,A2/Copernicus land/background DEM input,copernicus_glo30,true,GTiff,"GEOGCRS[""WGS 84"",",4326,3601,3601,1,Byte,unknown,0.000277777777778,0.000277777777778,30.9222222222,33.9998611,28.9998611,35.0001389,30.0001389,false,medium,da3c6657969f362b8c9eeaeda994b871fd8ec4826238a4c311fd4368b05fece0,GDAL metadata only
copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140227T153819_ADS_000000_XFfg_230d2e11/Copernicus_DSM_10_N29_00_E034_00/AUXFILES/Copernicus_DSM_10_N29_00_E034_00_FLM.tif,/home/daij/Desktop/general/DEM/copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140227T153819_ADS_000000_XFfg_230d2e11/Copernicus_DSM_10_N29_00_E034_00/AUXFILES/Copernicus_DSM_10_N29_00_E034_00_FLM.tif,false,A2/Copernicus land/background DEM input,copernicus_glo30,true,GTiff,"GEOGCRS[""WGS 84"",",4326,3601,3601,1,Byte,unknown,0.000277777777778,0.000277777777778,30.9222222222,33.9998611,28.9998611,35.0001389,30.0001389,false,medium,ff8dc2deeefb8a6c361fbdc64025b258a46d3e8076e408ee7157d9209bffba47,GDAL metadata only
copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140227T153819_ADS_000000_XFfg_230d2e11/Copernicus_DSM_10_N29_00_E034_00/AUXFILES/Copernicus_DSM_10_N29_00_E034_00_HEM.tif,/home/daij/Desktop/general/DEM/copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140227T153819_ADS_000000_XFfg_230d2e11/Copernicus_DSM_10_N29_00_E034_00/AUXFILES/Copernicus_DSM_10_N29_00_E034_00_HEM.tif,false,A2/Copernicus land/background DEM input,copernicus_glo30,true,GTiff,"GEOGCRS[""WGS 84"",",4326,3601,3601,1,Float32,unknown,0.000277777777778,0.000277777777778,30.9222222222,33.9998611,28.9998611,35.0001389,30.0001389,false,medium,ec8a575b5ebad6fba949a3d580be30f09f8fbcd52006f5154155c33783b7e746,GDAL metadata only
copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140227T153819_ADS_000000_XFfg_230d2e11/Copernicus_DSM_10_N29_00_E034_00/AUXFILES/Copernicus_DSM_10_N29_00_E034_00_WBM.tif,/home/daij/Desktop/general/DEM/copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140227T153819_ADS_000000_XFfg_230d2e11/Copernicus_DSM_10_N29_00_E034_00/AUXFILES/Copernicus_DSM_10_N29_00_E034_00_WBM.tif,true,A2/Copernicus land/background DEM input,copernicus_glo30,true,GTiff,"GEOGCRS[""WGS 84"",",4326,3601,3601,1,Byte,unknown,0.000277777777778,0.000277777777778,30.9222222222,33.9998611,28.9998611,35.0001389,30.0001389,false,high,eb6545d821a602e39f43f727c6f86dd57f384ee2104020f58d878a1405c835a0,process/build_fused_C.py
